fetch_time,status,source
2025-09-06 23:50:26,fetching successfully,manual
2025-09-06 23:55:31,fetching successfully,manual
2025-09-07 00:01:49,fetching successfully,manual
2025-09-07 00:11:19,fetching successfully,manual
2025-09-07 23:56:47,fetching successfully,manual
2025-09-08 00:01:48,fetching successfully,auto
2025-09-08 00:03:35,fetching successfully,manual
2025-09-08 10:04:28,fetching successfully,manual
2025-09-09 00:02:00,fetching successfully,auto
2025-09-20 23:53:53,fetching successfully,manual
2025-09-21 00:25:41,fetching successfully,manual
2025-09-21 00:43:24,fetching successfully,manual
2025-09-26 01:51:51,fetching successfully,manual
2025-09-26 02:34:47,❌ Error while fetching: object of type 'NoneType' has no len(),manual
2025-09-26 02:40:00,fetching successfully,manual
